rooms,floor,where_in_isreal,propery_type,enterrance_date,address,rent
2,2,דירות ברמת גן - גבעתיים,דירה,01.01.18,רמת גן - החי''ל,"3,600 ₪"
2,2,דירות בתל אביב,דירה,מיידי,תל אביב יפו - ערבי נחל,"5,490 ₪"
4,5,דירות בחדרה והסביבה,דירה,מיידי,פרדס חנה כרכור - דרך הבנים,"4,000 ₪"
1,קרקע,דירות בירושלים,דירה,05.12.17,ירושלים - האייל,"2,300 ₪"
4,1,דירות בעפולה והעמקים,דירה,01.01.18,עפולה - הרב קירשטיין,"2,400 ₪"
1.5,קרקע,יחידות דיור באילת וערבה,יחידת דיור,מיידי,אילת - ברנע,"2,000 ₪"
3.5,6,דירות בבאר שבע והסביבה,דירה,מיידי,באר שבע - אביגדור המאירי,"3,300 ₪"
2,2,דירות בתל אביב,דירה,10.01.18,תל אביב יפו - מקווה ישראל,"4,200 ₪"
2.5,3,דירות בבאר שבע והסביבה,דירה,מיידי,באר שבע - אסף שמחוני,"2,500 ₪"
3.5,3,דירות בחיפה והסביבה,דירה,מיידי,נשר - דרך הטכניון,"2,800 ₪"
3.5,4,דירות בירושלים,דירה,מיידי,ירושלים - שדרות הרצל,"5,600 ₪"
3.5,2,דירות בירושלים,דירה,01.01.18,ירושלים - דרך חברון,"4,000 ₪"
3.5,3,דירות בחיפה והסביבה,דירה,מיידי,חיפה - אורן,"2,700 ₪"
4.5,13,גגות/פנטהאוזים בנתניה והסביבה,גג/פנטהאוז,מיידי,נתניה - שמחה ארליך,"8,000 ₪"
3,קרקע,דירות גן בחיפה והסביבה,דירת גן,מיידי,חיפה - שושנת הכרמל,"3,400 ₪"
2,2,דירות בבקעת אונו,דירה,04.12.17,קרית אונו - הכלנית,"3,300 ₪"
2,קרקע,דירות בחיפה והסביבה,דירה,מיידי,חיפה - רבי עקיבא,"2,000 ₪"
4.5,7,דירות בנס ציונה - רחובות,דירה,מיידי,רחובות - נווה אלון,"5,000 ₪"
3,7,דירות בתל אביב,דירה,מיידי,תל אביב יפו - אבא אחימאיר,"6,200 ₪"
4,5,דירות בירושלים,דירה,01.01.18,ירושלים - שדרות הנשיא השישי,"6,500 ₪"
3,2,תל אביב יפו - פראג,דירה,31.12.17,"דגנית אופק נדל""ן","9,200 ₪"
3,4,תל אביב יפו - פוריה,גג/פנטהאוז,02.11.17,הומלנד - בית ממכר נכסים,"12,800 ₪"
2,קרקע,אשדוד - העשרים ואחד,דירה,24.12.17,אושרי נכסים,"2,800 ₪"
5,2,תל אביב יפו - תל ברוך צפון,דירה,,אופק נדלן,"8,200 ₪"
3,1,תל אביב יפו - יונה הנביא (חדשה חניה מחסן),דירה,מיידי,מאיר,"8,200 ₪"
"6,400 ₪",10.11.18,תל אביב יפו,דירה,3.5,(משווק בלעדי במתחם גינדי TLV),Assaf Rozio-סניף השוק הסיטונאי
1,2,תל אביב יפו - כנפי נשרים (חדר+מרפסת שמש),גג/פנטהאוז,מיידי,גג פור יו,"3,500 ₪"
5,5,תל אביב יפו - הנצי''ב (דופלקס גג מדהים),דופלקס,29.11.17,אפל נכסים,"10,000 ₪"
"7,000 ₪",03.12.17,תל אביב יפו - החשמונאים,דירה,4,(משווק בלעדי במתח...,Assaf Rozio-סניף השוק הסיטונאי
4,2,באר שבע - הרב הרצוג (בניין מטופח!!),דירה,מיידי,ש.י.א נכסים,"2,600 ₪"
5,1,תל אביב יפו - בנימין מטודלה,דירה,מיידי,רני נכסים,"8,200 ₪"
2.5,2,תל אביב יפו - בוגרשוב (פינסקר לשותפים),דירה,01.01.18,תכלס תל-אביב,"5,500 ₪"
4,20+,תל אביב יפו - פרישמן,דירה,,הומלנד - בית ממכר נכסים,"25,000 ₪"
4,6,יהוד מונוסון - וייצמן (מציאה@@@ גג ענק),גג/פנטהאוז,מיידי,טל נכסים- ניתאי טל,"5,200 ₪"
4,3,גבעת שמואל - רמת אילן,דירה,01.12.17,קול הנכס,"5,200 ₪"
"6,000 ₪",15.12.17,תל אביב יפו - בן יהודה,דירה,2,"(משופצת,עורפית,מעל...","א.א נדל""ן"
"7,000 ₪",14.09.18,תל אביב יפו - החשמונאים,דירה,4.5,(משווק בלעדי במתח...,Assaf Rozio-סניף השוק הסיטונאי
3.5,3,רמת גן - רחובות הנהר (שכונה מצויינת מציאה),דירה,מיידי,Reaching Home,"4,500 ₪"
2,2,תל אביב יפו - כרם התימנים (משופצת ליחיד),דירה,15.12.17,תכלס תל-אביב,"4,400 ₪"
2,קרקע,רינתיה,יחידת דיור,15.12.17,תיווך בכפר,"3,600 ₪"
