address,rent,where_in_isreal,enterrance_date,propery_type,floor,rooms
נשר - עמוס,"1,790 ₪",דירות בחיפה והסביבה,מיידי,דירה,14,1
הוד השרון - הגאולה,"5,000 ₪",דירות בהוד השרון והסביבה,01.01.18,דירה,3,5
חריש - גפן,"2,400 ₪",דירות ברמת מנשה,מיידי,דירה,3,4
רמת גן - מוריה,"5,500 ₪",דירות ברמת גן - גבעתיים,12.12.17,דירה,1,4
ירושלים - חוזה סן מרטין,"3,500 ₪",דירות בירושלים,30.11.17,דירה,3,3
עפולה - וולפסון,"2,100 ₪",דירות בעפולה והעמקים,מיידי,דירה,3,3
באר שבע - המלכים,"4,400 ₪",דירות בבאר שבע והסביבה,18.10.17,דירה,קרקע,4
נשר - דרך הטכניון,"2,800 ₪",דירות בחיפה והסביבה,מיידי,דירה,3,3.5
נשר - יפה נוף,"2,500 ₪",דירות בחיפה והסביבה,מיידי,דירה,קרקע,2
חריש - תמר,"2,500 ₪",דירות ברמת מנשה,מיידי,דירה,2,4
תל אביב יפו - בירנית,"5,000 ₪",דירות בתל אביב,01.12.17,דירה,2,4
הרצליה - הצדף,"4,500 $",דירות ברמת השרון - הרצליה,מיידי,דירה,14,3
קרית שמונה - בבא סאלי,"1,800 ₪",דירות בראש פינה החולה,מיידי,דירה,2,4
טבריה - השומר,"1,950 ₪",דירות בהכנרת והסביבה,מיידי,דירה,5,2
ירושלים - ברניקי,"3,000 ₪",דירות בירושלים,מיידי,דירה,2,3
חדרה - חי טייב,"2,450 ₪",דירות בחדרה והסביבה,01.01.18,דירה,קרקע,2
תל אביב יפו - ברנפלד,"5,000 ₪",דירות בתל אביב,מיידי,דירה,1,2
עפולה - יהושע חנקין,"2,400 ₪",דירות בעפולה והעמקים,מיידי,דירה,3,4
תל אביב יפו - בית אל,"6,900 ₪",דירות בתל אביב,20.12.17,דירה,14,4
תל אביב יפו - צביה לובטקין,"3,800 ₪",דירות בתל אביב,מיידי,דירה,קרקע,2
(ללא תיווך/משופצת/מרו...,הום דוט קום,תל אביב יפו - אלנבי,2,סאבלט,02.01.18,"5,300 ₪"
הומלנד - בית ממכר נכסים,"9,500 ₪",תל אביב יפו - ניסים אלוני (115029),,דירה,11,3
הומלנד - בית ממכר נכסים,"12,800 ₪",תל אביב יפו - פוריה,02.11.17,גג/פנטהאוז,4,3
(נווה שרת דירה מו...,TLV נכסים,תל אביב יפו - אח''י דקר,5,דירה,03.12.17,"6,800 ₪"
(4 חד׳ ענקית 107 ...,SHTUREM R.E סניף השוק הסיטונאי,תל אביב יפו - החשמונאים,4,דירה,מיידי,"7,000 ₪"
מאיר,"8,200 ₪",תל אביב יפו - יונה הנביא (חדשה חניה מחסן),מיידי,דירה,1,3
OREN REAL ESTATE,"6,900 ₪",הרצליה - הנשיא יצחק בן צבי,מיידי,דירה,3,3
"(55 מ""ר, 2 חדרי...",עזרא-נכסים,תל אביב יפו - יהודה המכבי,2,דירה,מיידי,"5,200 ₪"
רימקס אושן,"6,200 ₪","תל אביב יפו - אפטר (מיידי, 3, מרפסת שמש)",מיידי,דירה,3,3
(מגדלי שרונה ...,SHTUREM R.E סניף השוק הסיטונאי,תל אביב יפו - אלוף קלמן מגן,4,דירה,מיידי,"9,000 ₪"
"דגנית אופק נדל""ן","9,200 ₪",תל אביב יפו - פראג,31.12.17,דירה,2,3
הנדלן שלי המשרד לשיווק נכסים,"2,550 ₪",יציץ (יחידת יור עם חצר),מיידי,יחידת דיור,קרקע,1.5
(שקט ירוק עם חצר פרטית),My Homes,רמת גן - גולני,4,פרטי/קוטג',מיידי,"9,000 ₪"
(משו...,Assaf Rozio-סניף השוק הסיטונאי,"תל אביב יפו - גני שרונה, קרית הממשלה",2.5,דירה,02.11.18,"6,300 ₪"
הום דוט קום,"5,800 ₪",תל אביב יפו - צייטלין (דופלקס מטורף!!),מיידי,דירה,6,2
COLLECTION קנדה ישראל,"8,000 ₪",תל אביב יפו - דרך מנחם בגין (מידטאון תל אביב),01.04.18,דירה,20+,3
שיין נדלן,"5,800 ₪",רמת השרון - הנרייטה סולד,מיידי,דירה,1,4
(משווק בלעדי במתח...,Assaf Rozio-סניף השוק הסיטונאי,תל אביב יפו - החשמונאים,3.5,דירה,10.11.18,"6,400 ₪"
"אור הנדל""ן","4,700 ₪",אשדוד - שבט נפתלי (במיקום מרכזי),01.01.18,דירה,4,4
,"2,700 ₪",חיפה - מחניים (דירה בלב מרכז הכרמל),מיידי,דירה,2,2.5
floor,where_in_isreal,rent,rooms,propery_type,address,enterrance_date
14,דירות בחיפה והסביבה,"1,790 ₪",1,דירה,נשר - עמוס,מיידי
3,דירות בהוד השרון והסביבה,"5,000 ₪",5,דירה,הוד השרון - הגאולה,01.01.18
3,דירות ברמת מנשה,"2,400 ₪",4,דירה,חריש - גפן,מיידי
1,דירות ברמת גן - גבעתיים,"5,500 ₪",4,דירה,רמת גן - מוריה,12.12.17
3,דירות בירושלים,"3,500 ₪",3,דירה,ירושלים - חוזה סן מרטין,30.11.17
3,דירות בעפולה והעמקים,"2,100 ₪",3,דירה,עפולה - וולפסון,מיידי
קרקע,דירות בבאר שבע והסביבה,"4,400 ₪",4,דירה,באר שבע - המלכים,18.10.17
3,דירות בחיפה והסביבה,"2,800 ₪",3.5,דירה,נשר - דרך הטכניון,מיידי
קרקע,דירות בחיפה והסביבה,"2,500 ₪",2,דירה,נשר - יפה נוף,מיידי
2,דירות ברמת מנשה,"2,500 ₪",4,דירה,חריש - תמר,מיידי
2,דירות בתל אביב,"5,000 ₪",4,דירה,תל אביב יפו - בירנית,01.12.17
14,דירות ברמת השרון - הרצליה,"4,500 $",3,דירה,הרצליה - הצדף,מיידי
2,דירות בראש פינה החולה,"1,800 ₪",4,דירה,קרית שמונה - בבא סאלי,מיידי
5,דירות בהכנרת והסביבה,"1,950 ₪",2,דירה,טבריה - השומר,מיידי
2,דירות בירושלים,"3,000 ₪",3,דירה,ירושלים - ברניקי,מיידי
קרקע,דירות בחדרה והסביבה,"2,450 ₪",2,דירה,חדרה - חי טייב,01.01.18
1,דירות בתל אביב,"5,000 ₪",2,דירה,תל אביב יפו - ברנפלד,מיידי
3,דירות בעפולה והעמקים,"2,400 ₪",4,דירה,עפולה - יהושע חנקין,מיידי
14,דירות בתל אביב,"6,900 ₪",4,דירה,תל אביב יפו - בית אל,20.12.17
קרקע,דירות בתל אביב,"3,800 ₪",2,דירה,תל אביב יפו - צביה לובטקין,מיידי
6,תל אביב יפו - צייטלין (דופלקס מטורף!!),"5,800 ₪",2,דירה,הום דוט קום,מיידי
20+,תל אביב יפו - דרך מנחם בגין (מידטאון תל אביב),"8,000 ₪",3,דירה,COLLECTION קנדה ישראל,01.04.18
1,רמת השרון - הנרייטה סולד,"5,800 ₪",4,דירה,שיין נדלן,מיידי
10.11.18,תל אביב יפו - החשמונאים,Assaf Rozio-סניף השוק הסיטונאי,"6,400 ₪",דירה,(משווק בלעדי במתח...,3.5
4,אשדוד - שבט נפתלי (במיקום מרכזי),"4,700 ₪",4,דירה,"אור הנדל""ן",01.01.18
2,חיפה - מחניים (דירה בלב מרכז הכרמל),"2,700 ₪",2.5,דירה,,מיידי
27.11.17,תל אביב יפו - החשמונאים,SHTUREM R.E סניף השוק הסיטונאי,"9,500 ₪",דירה,(נוף מדהים - פשוט...,5
